SCORE,DATE,D0,D1,D2,D3,D4,NA_COUNT,W0,W1,W2,W3,W4
17.8,year_465,0,0,0,0,0,0,82.2,25,0,0,0
32.7,year_466,67.3,0,0,0,0,0,0,0,0,0,0
91.5,year_467,1.2,0,0,0,0,0,7.3,0,0,0,0
30,year_468,0,0,0,0,0,0,70,0,0,0,0
87.5,year_469,12.5,0,0,0,0,0,0,0,0,0,0
51.9,year_470,9,1.2,0,0,0,0,39.1,0,0,0,0
52.4,year_471,42.9,3.3,0,0,0,0,4.7,0,0,0,0
26.2,year_472,70.7,2.2,0,0,0,0,3.1,0,0,0,0
30,year_473,70,44.1,10,0,0,0,0,0,0,0,0
12.7,year_474,86.3,57.5,0,0,0,0,1,0,0,0,0
48.2,year_475,1.3,0,0,0,0,0,50.6,12.3,0,0,0
99.9,year_476,0,0,0,0,0,0,0.1,0,0,0,0
0,year_477,0,0,0,0,0,0,100,82.5,66.9,42.4,4.5
28.4,year_478,0,0,0,0,0,0,71.5,20.3,4.8,0,0
76,year_479,24,0,0,0,0,0,0,0,0,0,0
9.8,year_480,0,0,0,0,0,0,90.2,47.9,7.2,0,0
47,year_481,0,0,0,0,0,0,53,15.6,0,0,0
31.1,year_482,0,0,0,0,0,0,68.9,10,0,0,0
62.6,year_483,34.3,0,0,0,0,0,3.1,0,0,0,0
7.7,year_484,0,0,0,0,0,0,92.3,39.4,1.1,0,0
67.4,year_485,0,0,0,0,0,0,32.6,13.7,3.6,0,0
43.1,year_486,35.9,2.2,0,0,0,0,21,0,0,0,0
8.5,year_487,0,0,0,0,0,0,91.5,19,4.5,0.1,0
2.1,year_488,97.9,74.2,20.7,4.9,0,0,0,0,0,0,0
41.2,year_489,30.1,18,8,1.1,0,0,28.8,11.1,0,0,0
0,year_490,0,0,0,0,0,0,100,60.4,0,0,0
92.1,year_491,7.8,0,0,0,0,0,0.1,0,0,0,0
59.4,year_492,0,0,0,0,0,0,40.6,0,0,0,0
0,year_493,99.9,97.9,47.1,0,0,0,0,0,0,0,0
11,year_494,0,0,0,0,0,0,89,26.5,0,0,0
0,year_495,0,0,0,0,0,0,99.9,94.4,70,10.9,0
0,year_496,0,0,0,0,0,0,100,87.3,35.2,0,0
33.1,year_497,0,0,0,0,0,0,66.9,2.2,0,0,0
46.1,year_498,0,0,0,0,0,0,53.9,0,0,0,0
5.5,year_499,0,0,0,0,0,0,94.5,29.7,0,0,0
42.6,year_500,51,1.1,0,0,0,0,6.3,3.1,0,0,0
64.9,year_501,0,0,0,0,0,0,35.1,11.8,3.1,0,0
0,year_502,0,0,0,0,0,0,100.1,87.1,32.7,17.3,7
